
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET /login?verified=true 200 in 1545ms (next.js: 215ms, proxy.ts: 16ms, application-code: 1313ms)
 GET /login 200 in 1527ms (next.js: 213ms, proxy.ts: 20ms, application-code: 1294ms)
 GET /login?verified=true 200 in 1517ms (next.js: 200ms, proxy.ts: 18ms, application-code: 1299ms)
 GET /login 200 in 1498ms (next.js: 192ms, proxy.ts: 22ms, application-code: 1283ms)
 GET /login?verified=true 200 in 1491ms (next.js: 178ms, proxy.ts: 26ms, application-code: 1287ms)
 GET /login 200 in 1462ms (next.js: 214ms, proxy.ts: 19ms, application-code: 1229ms)
 GET /login?verified=true 200 in 1467ms (next.js: 196ms, proxy.ts: 19ms, application-code: 1252ms)
 GET /login 200 in 1575ms (next.js: 334ms, proxy.ts: 18ms, application-code: 1223ms)
 GET /login?verified=true 200 in 1332ms (next.js: 183ms, proxy.ts: 26ms, application-code: 1123ms)
 GET /login 200 in 1273ms (next.js: 66ms, proxy.ts: 21ms, application-code: 1185ms)
 GET /login?verified=true 200 in 1265ms (next.js: 169ms, proxy.ts: 29ms, application-code: 1067ms)
 GET /login 200 in 1278ms (next.js: 58ms, proxy.ts: 43ms, application-code: 1178ms)
 GET /login?verified=true 200 in 1252ms (next.js: 141ms, proxy.ts: 22ms, application-code: 1089ms)
 GET /login 200 in 1303ms (next.js: 90ms, proxy.ts: 21ms, application-code: 1192ms)
 GET /login?verified=true 200 in 1300ms (next.js: 224ms, proxy.ts: 19ms, application-code: 1056ms)
 GET /login 200 in 1248ms (next.js: 57ms, proxy.ts: 23ms, application-code: 1168ms)
 GET /login?verified=true 200 in 1238ms (next.js: 135ms, proxy.ts: 19ms, application-code: 1085ms)
 GET /login 200 in 1271ms (next.js: 58ms, proxy.ts: 23ms, application-code: 1190ms)
 GET /login?verified=true 200 in 1265ms (next.js: 154ms, proxy.ts: 25ms, application-code: 1086ms)
 GET /login 200 in 1406ms (next.js: 65ms, proxy.ts: 28ms, application-code: 1312ms)
 GET /login?verified=true 200 in 1392ms (next.js: 158ms, proxy.ts: 27ms, application-code: 1207ms)
 GET /login 200 in 1506ms (next.js: 65ms, proxy.ts: 32ms, application-code: 1409ms)
 GET /login?verified=true 200 in 1507ms (next.js: 138ms, proxy.ts: 30ms, application-code: 1339ms)
 GET /login 200 in 1277ms (next.js: 59ms, proxy.ts: 23ms, application-code: 1195ms)
 GET /login?verified=true 200 in 1253ms (next.js: 136ms, proxy.ts: 26ms, application-code: 1091ms)
 GET /login 200 in 1010ms (next.js: 101ms, proxy.ts: 33ms, application-code: 876ms)
 GET /login?verified=true 200 in 977ms (next.js: 272ms, proxy.ts: 26ms, application-code: 679ms)
 GET /login?verified=true 200 in 535ms (next.js: 110ms, proxy.ts: 21ms, application-code: 404ms)
 GET /login 200 in 565ms (next.js: 270ms, proxy.ts: 27ms, application-code: 269ms)
 GET /login 200 in 884ms (next.js: 37ms, proxy.ts: 12ms, application-code: 835ms)
 GET /login?verified=true 200 in 976ms (next.js: 363ms, proxy.ts: 22ms, application-code: 591ms)
 GET /login?verified=true 200 in 1713ms (next.js: 306ms, proxy.ts: 65ms, application-code: 1343ms)
 GET /login 200 in 1790ms (next.js: 530ms, proxy.ts: 26ms, application-code: 1234ms)
 GET /login?verified=true 200 in 1123ms (next.js: 69ms, proxy.ts: 15ms, application-code: 1039ms)
 GET /login 200 in 1107ms (next.js: 168ms, proxy.ts: 37ms, application-code: 902ms)
 GET /login?verified=true 200 in 806ms (next.js: 67ms, proxy.ts: 17ms, application-code: 721ms)
 GET /login 200 in 788ms (next.js: 143ms, proxy.ts: 35ms, application-code: 610ms)
 GET /login?verified=true 200 in 514ms (next.js: 85ms, proxy.ts: 21ms, application-code: 408ms)
 GET /login 200 in 493ms (next.js: 254ms, proxy.ts: 17ms, application-code: 221ms)
 GET /login 200 in 1051ms (next.js: 52ms, proxy.ts: 13ms, application-code: 986ms)
 GET /login?verified=true 200 in 1094ms (next.js: 194ms, proxy.ts: 26ms, application-code: 874ms)
 GET /login 200 in 1223ms (next.js: 77ms, proxy.ts: 29ms, application-code: 1118ms)
 GET /login?verified=true 200 in 1220ms (next.js: 262ms, proxy.ts: 29ms, application-code: 928ms)
 GET /login?verified=true 200 in 1104ms (next.js: 111ms, proxy.ts: 16ms, application-code: 977ms)
 GET /login 200 in 1437ms (next.js: 288ms, proxy.ts: 106ms, application-code: 1043ms)
 GET /login?verified=true 200 in 914ms (next.js: 51ms, proxy.ts: 16ms, application-code: 846ms)
 GET /login 200 in 899ms (next.js: 210ms, proxy.ts: 23ms, application-code: 666ms)
 GET /login?verified=true 200 in 450ms (next.js: 96ms, proxy.ts: 50ms, application-code: 304ms)
 GET /login?verified=true 200 in 676ms (next.js: 171ms, proxy.ts: 10ms, application-code: 495ms)
 GET /login?verified=true 200 in 416ms (next.js: 20ms, proxy.ts: 26ms, application-code: 370ms)
 GET /login?verified=true 200 in 638ms (next.js: 44ms, proxy.ts: 8ms, application-code: 586ms)
 GET /login?verified=true 200 in 506ms (next.js: 28ms, proxy.ts: 20ms, application-code: 458ms)
 GET /login?verified=true 200 in 340ms (next.js: 22ms, proxy.ts: 18ms, application-code: 300ms)
 GET /login?verified=true 200 in 323ms (next.js: 31ms, proxy.ts: 18ms, application-code: 274ms)
 GET /login?verified=true 200 in 155ms (next.js: 25ms, proxy.ts: 12ms, application-code: 118ms)
 GET /login?verified=true 200 in 404ms (next.js: 20ms, proxy.ts: 14ms, application-code: 370ms)
